,Title-Artist,Title-Artist,Lyrics
282,296,Outskirts Of HeavenCraig Campbell,"[Verse 1]
My grandpa taught me about buck knifes and shot guns
How to cast an old Zebco
And how to work a stick shift
He taught me the bible about all twelve disciples
And he made sure that I know there's life after this
With pearly gates and streets of gold
He said if I just believe that's where I'll go
[Chorus]
Lord when I die I wanna live
On the outskirts of Heaven
Where there's dirt roads for miles
Hay in the fields and fish in the river
Where there's dogwood trees and honey bees
And blue skies and green grass forever
Lord when I die, I wanna live on the outskirts of Heaven
[Verse 2]
Now it says in the King James in the Almighty's kingdom
He mentions a mansion that he's built just for me
Now I'd gladly trade it for a farm house with acreage
And a back yard that's shaded and a squeaky front porch swing
That's where I wanna hang my wings
[Chorus]
When I die I wanna live on the outskirts of Heaven
Where there's dirt roads for miles
Hay in the fields and fish in the river
Where there's dogwood trees and honey bees
And blue skies and green grass forever
So Lord when I die, I wanna live on the outskirts of Heaven
Yeah
[Outro]
Yeah, the good Lord knows me
He knows I need blue skies and green grass forever
Lord when I die I wanna live on the outskirts of Heaven
Yeah, when I die I wanna live on the outskirts of Heaven
"
283,297,"Forever CountryArtists Of Then, Now","[Verse 1]
Almost heaven, West Virginia
Blue ridge mountain, Shenandoah river
Life is old there, older than the trees
Younger than the mountains, blowing like a breeze
[Chorus 1]
Blake Shelton & George Strait]
Country roads, take me home
To the place I belong
West Virginia, mountain mama
Take me home, country roads
[Verse 2]
If I should stay
All my memories, they gather 'round her
I would only be in your way
A miner's lady, stranger to blue water
So I'll go, but I know
Dark and dusty, painted on the sky
I'll think of you every step of the way
Misty taste of moonshine, teardrops in my eye
[Chorus 1]
Country roads, take me home
To the place I belong
(I will always love you)
West Virginia, mountain mama
Take me home, country roads
[Bridge]
On the road again
Like a band of gypsies, we go down the highway
We're the best of friends
Insisting that the world keep turning our way
And our way
[Chorus 1]
Country roads (Country roads), take me home (Take me home)
To the place I belong
(I will always love you)
West Virginia, mountain mama
(Will always love you)
Oh, take her home, country roads
[Verse 3]
Oh, I hope life treats you kind
And I hope you have all you've dreamed of
I wish you joy and happiness
But above all this, I wish you love
[Chorus 2]
And I will always love you
I will always love you
Take me home, country roads
Take me home, country roads
And I will always love you
On the road again
I will always love you
I just can't wait to get on the road again
Country roads
The life I love is makin' music with my friends
I will always love you
I can't wait to get on the road again
Take me home, country roads
I will always love you
I'll always love you
"
284,298,In Case You Didn't KnowBrett Young,"[Verse 1]
I can't count the times
I almost said what's on my mind
But I didn't
Just the other day
I wrote down all the things I'd say
But I couldn't
I just couldn't
[Pre-Chorus]
Baby, I know that you've been wondering
Mmm, so here goes nothing
[Chorus]
In case you didn't know
Baby, I'm crazy bout you
And I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long long time ago
In case you didn't know
[Verse 2]
The way you look tonight
That second glass of wine
That did it
There was something 'bout that kiss
Girl it did me in
Got me thinking
I'm thinking
[Pre-Chorus]
One of the things that I've been feeling
Mmm, it's time you hear em
[Chorus]
In case you didn't know
Baby, I'm crazy bout you
And I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long long time ago
In case you didn't know
[Bridge]
You've got all of me
I belong to you
Yeah you're my everything
[Chorus]
In case you didn't know
I'm crazy bout ya
I would be lying if I said
That I could live this life without you
Even though I don't tell you all the time
You had my heart a long long time ago
Yeah, you had my heart a long long time ago
In case you didn't know
In case you didn't know
"
285,299,For HerChris Lane,"[Verse 1]
She got a smile that makes your worst day
Feel like it's your birthday
She's got a laugh like confetti
Would change her name if she'd let me
[Pre-Chorus 1]
She's got a way of changing the game
The way that you play, it's never the same
[Chorus]
She's the kind that makes you wanna
Ride around, windows down
Yell with the radio
She's the kind that makes you wanna
Drop your plans, drop a grand
Hell where the money goes
She make you wanna fight for her
She make you wanna die for her, yeah
She make you wanna fall
Make you want it all, make you wanna call
She make you wanna die for her
[Verse 2]
The way that she moves
Is like a soft glow, flicker of a candle
She turns my cool into disaster
Heart is pumping faster
[Pre-Chorus 2]
She's head to toe, body and soul
So beautiful, she don't even know
[Chorus]
She's the kind that makes you wanna
Ride around, windows down
Yell with the radio
She's the kind that makes you wanna
Drop your plans, drop a grand
Hell where the money goes
She make you wanna fight for her
She make you wanna die for her, yeah
She make you wanna fall
Make you want it all, make you wanna call
[Post-Chorus]
She make you wanna die for her
Yeah-eh, yeah
Yeah-eh, yeah
Yeah-eh, yeah
She make you wanna die for her
Yeah-eh, yeah
Yeah-eh, yeah
Yeah-eh, yeah
[Bridge]
For her, I would walk a straight line
Wear out the soles in my shoes
For her, I would run through the night
Just to kiss her one more time
If she wanted me to
[Chorus]
She's the kind that makes you wanna
Ride around, windows down
Yell with the radio
She's the kind that makes you wanna
Drop your plans, drop a grand
Hell where the money goes
She make you wanna fight for her
She make you wanna die for her, yeah
She make you wanna fall
Make you want it all, make you wanna call
[Post-Chorus]
She make you wanna die for her
Yeah-eh, yeah
Yeah-eh, yeah
Yeah-eh, yeah
She make you wanna die for her
Yeah-eh, yeah
Yeah-eh, yeah
Yeah-eh, yeah
"
286,300,JolenePentatonix,"[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you, please don't take my man
[Verse 1]
Your beauty is beyond compare
With flaming locks of auburn hair
Ivory skin and eyes of emerald green
Your smile is like a breath of spring
Your voice is soft like summer rain
I cannot compete with you, Jolene
[Verse 2]
He talks about you in his sleep
There's nothing I can do to keep
From crying when he calls your name, Jolene
And I can easily understand
How you could easily take my man
You don't know what he means to me, Jolene
[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you, please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can
[Verse 3]
Well, you could have your choice of men
But I could never love again
He's the only one for me, Jolene
I had to have this talk with you
My happiness depends on you
And whatever you decide to do, Jolene
[Chorus]
Jolene, Jolene, Jolene, Jolene
Oh, I'm begging of you, please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can
Oh, please don't take him even though you can
Oh, please don't take him even though you can
Oh, Jolene
"
287,301,Whiskey And YouChris Stapleton,"[Verse 1]
There's a bottle on the dresser by your ring
And it's empty so right now I don't feel a thing
And I'll be hurtin' when I wake up on the floor
But I'll be over it by noon
That's the difference between whiskey and you
[Verse 2]
Come tomorrow, I can walk in any store
It ain't a problem, they'll always sell me more
But your forgiveness
Well, that's somethin' I can't buy
There ain't a thing that I can do
That's the difference between whiskey and you
[Chorus]
One's a devil, one keeps drivin' me insane
At times I wonder if they ain't both the same
But one's a liar that helps to hide me from my pain
And one's the long gone bitter truth
That's the difference between whiskey and you
[Verse 3]
I've got a problem but it ain't like what you think
I drink because I'm lonesome and I'm lonesome 'cause I drink
But if I don't break down and bring it on myself
It'll hit out of the blue
That's the difference between whiskey and you
[Chorus]
One's a devil, one keeps drivin' me insane
At times I wonder, oh, if they ain't both the same
One's a liar that helps to hide me from my pain
And one's the long gone bitter truth
That's the difference between whiskey and you
[Outro]
Aww, that's the difference between whiskey and you
"
288,302,O Holy NightJennifer Nettles,"[Verse 1]
O Holy night, the stars are brightly shining
It is the night of our dear Saviour's birth
Long lay the world in sin and error pining
'Til He appeared and the souls felt its worth
A thrill of hope the weary world rejoices
For yonder breaks a new and glorious morn
[Refrain]
Fall on your knees!
Oh hear the angel voices
O night divine!
O night when Christ was born
O night divine!
O night, O night divine
[Verse 2]
Truly He taught us to love one another
His law is love and His gospel is peace
All chains shall He break everyone is our brother
And in His name all oppression shall cease
Sweet hymns of joy in grateful chorus raise we
With all our hearts we praise His holy name
[Refrain]
Fall on your knees!
Oh hear the angel voices
O night divine!
O night when Christ was born
O night divine!
O night, O night divine!
"
289,304,Thunder In The RainKane Brown,"[Verse 1]
Your lips, your eyes, don't wanna let go
Your skin on mine, I'm losing control
Hear the rumble in your chest
Feel the wind comin' off your breath
Your curves ain't slowin' me down
Ain't nothin' gonna stop us now
[Chorus]
You're fire, I'm lightnin'
We're burnin' at the core
Fallin' and crashin'
Girl, we're a perfect storm
Every time our hearts collide
I can feel our love come to life
It's insane, baby
We're like thunder in the rain
[Verse 2]
Twisted, tangled like a hurricane
We shake these walls like an earthquake
Hear the rumble in your chest
Feel the wind comin' off your breath
The way you're callin' out my name
Makes me hard to contain
[Chorus]
You're fire, I'm lightnin'
We're burnin' at the core
Fallin' and crashin'
Girl, we're a perfect storm
Every time our hearts collide
I can feel our love come to life
It's insane, baby
We're like thunder in the rain
We're like thunder in the rain
[Bridge]
You're fire, I'm lightnin'
We're burnin' at the core
Fallin' and crashin'
Girl, we're a perfect storm
[Chorus]
You're fire, I'm lightnin'
We're burnin' at the core
Fallin' and crashin'
Girl, we're a perfect storm
Every time our hearts collide
I can feel our love come to life
It's insane, baby
We're like thunder in the rain
We're like thunder in the rain
"
290,305,Everybody We Know DoesChase Rice,"[Intro]
Everybody we know does
[Verse 1]
Not everybody throws their empties in a truck bed
Pours sweat off forty hours for a pay check
Take it to the bank at five save a nickel, spend a dime
On living it up
Not everybody knows an outskirts sky glow
Yell turn it up sing every word of friends in low
Not everybody likes a Friday night
Covered in dust but everybody we know does
[Chorus]
That's what we do, that's what we love
That's how we were raised, how we grew up
Runs deep in our veins, way down in our blood
Everybody we know does
Put your boots to the ground 'til the sun goes down
Kill a couple long necks 'til we come back around
Nah, it ain't no big deal around here for us
Everybody we know does
[Verse 2]
Not everybody understands how we make it
Hold it together when we feel like breakin'
Not everybody knows what we're made of but
Everybody we know does
[Chorus]
That's what we do, that's what we love
That's how we were raised, how we grew up
Runs deep in our veins, way down in our blood
Everybody we know does
Put your boots to the ground 'til the sun goes down
Kill a couple long necks 'til we come back around
Nah, it ain't no big deal around here for us
Everybody we know does
Everybody we know does
[Bridge]
Not everybody knows an outskirts sky glow
Yell turn it up sing every word of friends in low
But everybody we know does
[Chorus]
That's what we do, that's what we love
That's how we were raised, how we grew up
Runs deep in our veins, way down in our blood
Everybody we know does
Put your boots to the ground 'til the sun goes down
Kill a couple long necks 'til we come back around
Nah, it ain't no big deal around here for us
Everybody we know does
[Outro]
Put your boots to the ground 'til the sun goes down
Kill a couple long necks 'til we come back around
Nah, it ain't no big deal around here for us
Everybody we know does
"
291,306,The FighterKeith Urban,"[Verse 1]
I know he hurt you
Made you scared of love, too scared to love
He didn't deserve you
'Cause your precious heart is a precious heart
He didn't know what he had and I thank God, oh, oh, oh
And it's gonna take just a little time
But you're gonna see that I was born to love you
[Chorus]
What if I fall?
I won't let you fall
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
What if I fall?
I won't let you fall
What if I cry?
I promise I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
[Verse 2]
Look in the mirror
You're beautiful, so beautiful
I'm here to remind you
You're my only one, let me be the one
To heal all the pain that he put you through
It's a love like you never knew
Just let me show you
[Chorus]
What if I fall?
I won't let you fall
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
What if I fall?
I won't let you fall
What if I cry?
I promise, I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
[Bridge]
I wanna believe that you got me, baby
I swear I do from now until the next life
I wanna love, wanna give you all my heart
[Chorus]
What if I fall?
I won't let you fall
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
What if I fall?
I won't let you fall
What if I cry?
I promise I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
[Outro]
What if I fall?
What if I cry?
And if I get scared?
I'll hold you tighter
When they're tryna get to you, baby, I'll be the fighter
"
292,307,"God, Your Mama, And MeFlorida Georgia Line","[Verse 1]
That Sunday morning choir calling, church doors open wide
That hallelujah, shoot right through ya, make you feel alive
That key under the mat, you know right where it's at
It's waiting with the porch light on
Don't bother calling, no need for knocking, just come on home
Come on home, my love is
[Chorus]
Never gonna run dry, never gonna come up empty
Now until the day I die, unconditionally
You know I'm always gonna be here for ya
No one's ever gonna love you more than
God, your mama, and me
God, your mama, and me
Unconditionally, God, your mama, and me
[Verse 2]
Loud as shotgun, angels singing with the radio
Praying with you every mile down any dead end road
You can tell me every secret that you been keeping
I'll hold it, lock and key
Up with you all night, holding you all night, I never leave
You better believe my love is
[Chorus]
Never gonna run dry, never gonna come up empty
Now until the day I die, unconditionally
You know I'm always gonna be here for ya
No one's ever gonna love you more than
God, your mama, and me
God, your mama, and me
Unconditionally, God, your mama, and me
You better believe it, you better believe it
[Bridge]
Every step you take, I'll be as sure as your shadow
Every move you make, you know I'll follow you wherever you go
Baby, you know my love is
[Chorus]
Never gonna run dry, never gonna come up empty
Now until the day I die, unconditionally (unconditionally)
You know I'm always gonna be here for ya
No one's ever gonna love you more than
God, your mama, and me
God, your mama, and me
Unconditionally, God, your mama, and me
[Outro]
God, your mama, and me
God, your mama, and me
Unconditionally, God your mama, and me
"
293,308,Bar At The End Of The WorldKenny Chesney,"[Verse 1]
There's a trail of smoke coming out of a bottle
If you look real close, you can see it right there
A little tin roof bar down a path you have to follow
From a treasure map with the edges burnt
From a few too many beers
[Pre-Chorus]
We'll pull the ropes off the boat
We'll throw them up on the dock
We'll let the stars be our guide
No, we don't need no clock
[Chorus]
We'll set sail
Yeah, I'll see you there
Waving your hair with that t-shirt on
Dead men tell no tales
It's like nowhere else you've ever been
We'll write your name on a dollar bill
Put it on a wall, it'll still be there
Next time we come back, girl
To the bar at the end of the world
[Verse 2]
In that old seashell, you can hear the ocean
You can hear the waves crash
And whisper in your ear
Little glow in the night, it's the last place open
And the house drink is a beautiful thing
Called ""Make Me Disappear""
[Pre-Chorus]
We'll throw the ropes off the boat
We'll throw them up on the dock
We'll let the stars be our guide
No, we don't need no clock
[Chorus]
We'll set sail
Yeah, I'll see you there
Waving your hair with that t-shirt on
Dead men tell no tales
It's like nowhere else you've ever been
We'll write your name on a dollar bill
Put it on a wall, it'll still be there
Next time we come back, girl
To the bar at the end of the world
[Bridge]
There ain't no empty glasses
They're playing Drift Away
That's where the magic happens
Back up in that little bay
[Chorus]
We'll set sail
Yeah, I'll see you there
Waving your hair with that t-shirt on
Dead men tell no tales
It's like nowhere else you've ever been
We'll write your name on a dollar bill
Put it on a wall, it'll still be there
Next time we come back, girl
To the bar at the end of the world
[Outro]
To the bar at the end of the world
(We'll set sail)
At the end of the world
(We'll set sail)
"
294,309,You Look GoodLady Antebellum,"[Verse 1]
On a boat, on a beach
In the water, in the sand, in the back of a bar
Cold beer in your hand
Breaking hearts, breaking necks
When we rolling down the street, heads turning all day when they see you with me
I'm thinking everybody better stand in line
'Cause they need to know that your body's coming with me tonight
[Chorus]
They're like, ""Hey, who that there with the shades?""
Like oh, the way you move to the bass
Hold up
Whole room gets to spinnin' from the second that you walk in
And baby, you look good all day, all night
You look good, so fresh, so fine
You look good, got everybody watching you like cameras in Hollywood
Baby, you look good
Aw, baby, you look good
[Verse 2]
Black dress to the nines, New Year's in a pent
From the floor, to the roof, make the skyline spin
Yeah, you're killing me boy in your black-faded jeans
Ain't gotta work hard when you're smilin' at me
[Chorus]
Like, ""Hey, who that there with the shades?""
Like oh, the way you move to the bass
Hold up
Whole room gets to spinnin' from the second that you walk in
And baby, you look good all day, all night
You look good, so fresh, so fine
You look good, got everybody watching you like cameras in Hollywood
Baby, you look good
Aw, baby, you look good
[Bridge]
I'm thinking everybody better stand in line
'Cause they need to know that your body's coming with me tonight
[Chorus]
They're like, ""Hey, who that there with the shades?""
Like oh, the way you move to the bass
Hold up
Whole room gets to spinnin' from the second that you walk in
And baby, you look good all day, all night
You look good, so fresh, so fine
You look good, got everybody watching you like cameras in Hollywood
Baby, you look good
Come on, baby, you look good
You look good
Baby, you look good
"
295,310,My Old ManZac Brown Band,"[Verse 1]
He was a giant
And I was just a kid
I was always trying
To do everything he did
I can still remember every lesson he taught me
Growing up learning how to be like my old man
[Verse 2]
He was a lion
We were our father's pride
But I was defiant
When he made me walk the line
He knew how to lift me up
And when to let me fall
Looking back, he always had a plan
My old man
[Chorus]
My old man
Feel the callous on his hands
And dusty overalls
My old man
Now I finally understand
I have a lot to learn
From my old man
[Verse 3]
Now I'm a giant
Got a son of my own
He's always trying
To go everywhere I go
Do the best I can to raise him up the right way
Hoping that he someday wants to be
Like his old man
[Break]
[Chorus]
My old man
I know one day we'll meet again
As he's looking down
My old man
I hope he's proud of who I am
I'm trying to fill the boot of my old man
[Outro]
My old man
"
296,311,No Such Thing As A Broken HeartOld Dominion,"[Intro]
Hey, hey
Keep your chin up
Hey, hey
[Verse 1]
I wonder if Jack and Diane ever made it
After the drums and the guitars all faded
Was the best they could do good enough?
Or did the heartland just swallow 'em up?
How did my mom and my dad ever do it?
If there was struggles, then we never knew it
I guess they had each other
That was enough
[Chorus]
You know you can't keep the ground from shaking
No matter how hard you try
You can't keep the sunsets from fading
You gotta treat your life like you're jumping off a rope swing
Baby 'cause the whole thing's really just a shot in the dark
You gotta love like there's no such thing as a broken heart
You gotta love like there's no such thing as a broken heart
[Verse 2]
What am I gonna tell my kids when they see all of this bullshit that goes down on TV?
When the whole world is down on its luck
I gotta make sure they keep their chin up
Cry when it hurts, laugh when it's funny
Chase after the dream, don't chase after the money
And know we got each other
That's what's up
[Chorus]
'Cause you can't keep the ground from shaking
No matter how hard you try
You can't keep the sunsets from fading
You gotta treat your life like you're jumping off a rope swing
Baby 'cause the whole thing's really just a shot in the dark
You gotta love like there's no such thing as a broken heart
You gotta love like there's no such thing as a broken heart
[Bridge]
You gotta love like there's no such thing as a broken heart
[Chorus]
'Cause you can't keep the ground from shaking
No matter how hard you try
You can't keep the sunsets from fading
You gotta treat your life like you're jumping off a rope swing
Baby 'cause the whole thing's really just a shot in the dark
You gotta love like there's no such thing as a broken heart
You gotta love, love, love, love, love (like there's no such thing)
You gotta love, love, love, love, love (as a broken heart)
You gotta love like there's no such thing as a broken heart
"
297,312,Yours If You Want ItRascal Flatts,"[Verse 1]
There's one more sip in this bottle of wine
A lonely star hangin' in the sky with a wish left on it
And it's yours if you want it
And this wildflower from the neighbor's yard
A real slow dance in the moonlight dark
This hand in my pocket
Oh baby, just call it
Cause it's yours if you want it
[Chorus]
And every bit of love left in this beat up, banged up, scarred up heart
That's been waitin' on a girl like you
I know it ain't much
But it comes alive with every touch
Every kiss already feels like you own it
Baby, it's yours if you want it
[Verse 2]
Half of this rickety front porch swing
Every word of every song I sing
My jacket when it's cold
Oh baby, don't you know?
You've got a place to lay your head
On the other side of my empty bed
And it's just made for fallin'
And it's yours if you want it
It's yours if you want it
[Chorus]
And every bit of love left in this beat up, banged up, scarred up heart
That's been waitin' on a girl like you
I know it ain't much
But it comes alive with every touch
Every kiss already feels like you own it
Baby, it's yours if you want it
[Post-Chorus]
It's yours if you want it
[Bridge]
Every dollar, every dime, every drop of rain, every single thing I could beg, steal, or borrow
Every yesterday and tomorrow
Well every grain of sand on the beach
Every blade of grass under our feet
Baby, your name is written on it
And it's yours if you want it
[Chorus]
And every bit of love left in this beat up, banged up, scarred up heart
That's been waitin' on a girl like you
And I know it ain't much
But it comes alive with every touch
Every kiss already feels like you own it
Baby it's yours if you want it
[Outro]
Oh, oh
I swear, every dollar, every dime, every drop of rain, every single thing
That I could beg, steal, or borrow
Baby, your name is written on it
Baby, it's yours if you want it
"
298,313,FlatlinerCole Swindell,"[Verse 1]
Dang, girl, look at you stoppin' me in my boots
What's a country boy to do but say uh huh
Smile beatin' my chest up, you're downright dangerous
That shake in your giddy up got my eyes going what what
[Chorus]
Sippin' on this 7-7, never been this close to heaven
Got her pretty turned up to 11
Droppin' 'em dead on the dance floor
Somebody better call a doctor
She's a little heart stopper
I'm talkin' breaker breaker one niner
She's a flatliner
Oh, she's a flatliner
[Verse 2]
Dang, girl, I'm done, I ain't never seen no one
Poppin' it like a cold one and drop it down like uh huh
Oh my, see the light, I don't mean the neon kind
One kiss from you tonight and send me on to the other side
[Chorus]
Sippin' on this 7-7, never been this close to heaven
Got her pretty turned up to 11
Droppin' 'em dead on the dance floor
Somebody better call a doctor
She's a little heart stopper
I'm talkin' breaker breaker one niner
She's a flatliner
[Bridge]
Dang, girl, look at you stoppin' me in my boots
What's a country boy to do?
What would Dierks do?
Grab a guitar and go sing her a song
And go play one of my songs?
No, don't play one of yours, play one of mine, man!
[Chorus]
Yeah, sippin' on this 7-7, never been this close to heaven
Got her pretty turned up to 11
Droppin' 'em dead on the dance floor
Somebody better call a doctor
She's a little heart stopper
I'm talkin' breaker breaker one niner
She's a flatliner
Sippin' on this 7-7, never been this close to heaven
Got her pretty turned up to 11
Droppin' 'em dead on the dance floor
Somebody better call a doctor
She's a little heart stopper
I'm talkin' breaker breaker one niner
She's a flatliner
[Outro]
She's a flatliner
Yeah, man, she's gonna hurt somebody
Dude, she's worth the whiskey, bro, go get her one
Yeah, she's a flatliner
"
299,315,Every Time I Hear That SongBlake Shelton,"[Verse 1]
There's something 'bout yesterday
How fast it all flies away
I don't know what it is about a goodbye kiss
That makes you wanna stay
We were crazy then we were over
We were breaking up, making love, a runaway roller coaster
[Chorus]
Every time I hear that song
I’m standing in the pouring rain
On your front lawn and ooh-ooh-ooh
I still think about you-ooh-ooh
Every time I hear that song
It's like the first time it came on and ooh-ooh-ooh
I still think about you-ooh-ooh
I still think about you
[Verse 2]
There’s something in the bittersweet feeling of a memory
Right there in the moment, all I ever wanted was you and me
We were crying, we were wasted
We were dying, when they played it
[Chorus]
Every time I hear that song
I’m standing in the pouring rain
On your front lawn and ooh-ooh-ooh
I still think about you-ooh-ooh
Every time I hear that song
It's like the first time it came on and ooh-ooh-ooh
I still think about you-ooh-ooh
I still think about you
Oh, I still think about you
[Refrain]
There's a soundtrack in my mind
That takes me back in time
When I hear that melody
I think about you and me
[Chorus]
Every time I hear that song
I’m standing in the pouring rain
On your front lawn and ooh-ooh-ooh
I still think about you-ooh-ooh
Every time I hear that song
It's like the first time it came on and ooh-ooh-ooh
I still think about you-ooh-ooh
I still think about you
Oh, I still think about you
I still think about you
Yeah, I still think about you
[Refrain]
There's a soundtrack in my mind
That takes me back in time
When I hear that melody
"
300,316,Real ThingZac Brown Band,"[Verse 1]
It was in a crystal bottle on his desk
He'd save it for the times to not forget
I missed the way he'd share with me
The things that he held true
While the lessons rolled around his 80 proof
All it took was...
[Pre-Chorus 1]
One sip and it blew my mind
Those good ol' boys sure make it right
Knowing smooth whiskey takes some time
Ain't nothing like the real thing
And you can't go back once you get a taste
Everything is second rate
I'm talking genuine Made in the USA
Ain't nothing like the real thing
[Chorus]
Real thing
There ain't nothing like the real thing baby
There ain't nothing like the...
Real thing
There ain't nothing like the real thing baby
[Verse 2]
I thought I'd been in love a time or two
Didn't know that I was lost till I met you
And I could tell that every other girl was history
Never knew how real could feel till you found me
All it took was...
[Pre-Chorus 2]
One kiss, and you blew my mind
An All-American kind of fine
You a know a, good woman is hard to find
Ain't nothing like the real thing
And you can't go back once you get a taste
Everyone is second rate
I'm talking genuine Made in the USA
Ain't nothing like the real thing
[Chorus]
The real thing
There ain't nothing like the real thing baby
There ain't nothing like the...
Real thing
There ain't nothing like the real thing baby
There ain't nothing like the...
Real thing
There ain't nothing like the real thing baby
There ain't nothing like the...
Real thing
There ain't nothing like the real thing baby
There ain't nothing...
[Verse 3]
You know a, great song is hard to find
The right words and the perfect rhyme
'Cause we, all feel the same inside
We're all looking for the real thing
[Pre-Chorus 3]
You know you're not the same once you hear it play
There's nothing else that can replace
What's genuine Made in the USA
Ain't nothing like the real thing
I'm talking genuine Made in the USA
Ain't nothing like the real thing
[Instrumental]
[Outro]
Real thing
There ain't nothing like the real thing baby
There ain't nothing like the...
Real thing
There ain't nothing like the real thing baby
"
301,317,Small Town BoyDustin Lynch,"[Verse 1]
I'm a dirt road in the headlights
I'm a mama's boy, I'm a fist fight
Kinda county line, kinda cold beer
Little hat down, little John Deere
I kinda give a damn
I kinda don't care
You see that girl standing right there
[Chorus]
She loves a small town boy like me
She's my ride or die baby
She's my cool, she's my crazy
She's my laid back in the front seat
She's my with me to the end girl
I'm turning it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
[Verse 2]
She likes my T-shirt
She likes my old boots
Likes to slow dance to some old school
She'll take a full moon over those city nights
And I ain't scared to get all up in them bright lights
Yeah, I can smooth it out
I can stick it up
I guess that's why she can't get enough of
[Chorus]
A small town boy like me
She's my ride or die baby
She's my cool, she's my crazy
She's my laid back in the front seat
She's my with me to the end girl
I'm turning it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
She loves a small town boy like me, yeah
[Bridge]
Yeah, I'm her sure thing
I'm her go to
I'm her rock solid
She ain't gon' ever lose a-
[Chorus]
Small town boy like me
I'm her ride or die baby
I'm her cool, I'm her crazy
I'm her laid back in the front seat
I'm so with you till the end girl
Let's turn it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
[Chorus]
She loves a small town boy like me
She's my ride or die baby
She's my cool, she's my crazy
She's my laid back in the front seat
She's my with me to the end girl
I'll turn it up to ten girl
She can have anybody that she wants
Or be anywhere she wants to be
She loves a small town boy like me
She loves a small town boy like me
Yeah, she loves a small town boy like me
"
302,318,Somebody Else WillJustin Moore,"[Verse 1]
Been sittin' here tippin' back Crown straight
Workin' up the nerve and the words to say
To turn those eyes and that smile my way
No time to waste
'Cause you showed up and all eyes on you
Shinin' like a diamond in a neon room
Every guy here wants to make a move
I better make a move
[Chorus]
Somebody else will if I don't
Walk up and ask you your name right now
Offer to buy you a drink
Sit down and tell you your looks could kill
Somebody else will if I don't
Take a chance on your lips
Lean in slowly stealin' your kiss like this
Makin' your world stand still
Somebody else will
Somebody else will
[Verse 2]
Maybe you're a little bit west coast
Maybe you're a little bit down home
Either way girl I just gotta know
I just gotta know
[Chorus]
'Cause somebody else will if I don't
Walk up and ask you your name right now
Offer to buy you a drink
Sit down and tell you your looks could kill
Somebody else will if I don't
Take a chance on your lips
Lean in slowly stealin' your kiss like this
Makin' your world stand still
Somebody else is gonna hold you
Somebody gonna get to know you
If I don't get there and sweep you off your feet
Girl somebody else will
Ohh somebody else will
[Chorus]
Somebody else will if I don't
Walk up and ask you your name right now
Offer to buy you a drink
Sit down and tell you your looks could kill
Somebody else will if I don't
Take a chance on your lips
Lean in slowly stealin' your kiss like this
Makin' your world stand still
Somebody else will baby
Ohh somebody else will
Yeah somebody else will
Somebody else will
"
303,319,It Ain't My FaultBrothers Osborne,"[Verse 1]
Blame the whiskey on the beer
Blame the beer on the whiskey
Blame the mornin’ on the night
For whose lyin’ here with me
Blame the bar for the band
Blame the band for the song
Blame the song for the party that went all night long
[Chorus]
But it ain’t my fault
No it ain’t my fault
Mighta had a little fun
Lotta wrong got done
But it ain’t my fault
[Verse 2]
Blame the heart for the hurtin’
Blame the hurtin’ on the heart
Blame the dark on the devil
Blame the devil on the dark
Blame the ex for the drinkin’
Blame the drinkin’ for the ex
Blame the two for one tequila’s for whatever happens next
[Chorus]
But it ain’t my fault
No it ain’t my fault
Mighta had a little fun
Lotta wrong got done
But it ain’t my fault
[Chorus]
I got my hands up
I need an alibi
Find me a witness who can testify
You made a mistake
You got the wrong guy
I’m only guilty of a damn good time
No it ain’t my fault
[Verse 3]
Blame my raisin' on my name
Blame my name on my raisin'
Blame my lack of knowing better on public education
Blame smoke on the fire
Blame fire on the smoke
Blame the fight on the bouncer that couldn’t take a joke
But it ain’t my fault
[Chorus]
I got my hands up
I need an alibi
Find me a witness who can testify
You made a mistake
You got the wrong guy
I’m only guilty of a damn good time
No it ain’t my fault
No it ain’t my fault
No it ain’t my fault
"
