,0
HelloAdele,"[Verse 1]
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

[Pre-Chorus]
There's such a difference between us
And a million miles

[Chorus]
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

[Verse 2]
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

[Pre-Chorus]
It's no secret that the both of us
Are running out of time

[Chorus]
So hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

[Bridge]
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Anymore

[Chorus]
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

[Produced by Greg Kurstin]
[Music Video]"
Same Old LoveSelena Gomez,"[Produced by Benny Blanco and StarGate]
[Written by Benny Blanco, Charli XCX, Mikkel S. Eriksen, Ross Golan & Tor Erik Hermansen]

[Verse 1: Selena Gomez]
Take away your things and go
You can't take back what you said, I know
I've heard it all before, at least a million times
I'm not one to forget, you know

[Pre-Chorus 1: Selena Gomez]
I don't believe, I don't believe it
You left in peace, left me in pieces
Too hard to breathe
I'm on my knees right now

[Chorus: Selena Gomez with Charli XCX]
I'm so sick of that same old love, that shit, it tears me up
I’m so sick of that same old love, my body's had enough
Oh-oh-oh (that same old love)
Oh-oh-oh (that same old love)
I’m so sick of that same old love, feels like I've blown apart
I’m so sick of that same old love, the kind that breaks your heart
Oh-oh-oh (that same old love)
Oh-oh-oh (that same old love)

[Verse 2: Selena Gomez]
I'm not spending any time, wasting tonight on you
I know, I've heard it all
So don't you try and change your mind
Cause I won't be changing too, you know

[Pre-Chorus 2: Selena Gomez]
You can't believe, still can't believe it
You left in peace, left me in pieces
Too hard to breathe, I'm on my knees
Right now, 'ow

[Chorus: Selena Gomez with Charli XCX]
I'm so sick of that same old love, that shit, it tears me up
I’m so sick of that same old love, my body's had enough
Oh-oh-oh (that same old love)
Oh-oh-oh (that same old love)
I’m so sick of that same old love, feels like I've blown apart
I’m so sick of that same old love, the kind that breaks your heart
Oh-oh-oh (that same old love)
Oh-oh-oh (that same old love)

[Bridge]
I'm so sick of that, so sick of that love
I'm so sick of that, so sick of that love
I'm so sick of that, so sick of that love
I'm so sick of that, so sick of that love

[Chorus: Selena Gomez with Charli XCX]
I'm so sick of that same old love, that shit, it tears me up
I’m so sick of that same old love, my body's had enough
Oh-oh-oh (that same old love)
Oh-oh-oh (that same old love)
I’m so sick of that same old love, feels like I've blown apart
I’m so sick of that same old love, the kind that breaks your heart
Oh-oh-oh (that same old love)
Oh-oh-oh (that same old love)"
HereAlessia Cara,"[Written by Alessia Cara & Sebastian Kole]
[Produced by Pop & Oak and Sebastian Kole]

[Intro]
I guess right now you've got the last laugh

[Verse 1]
I'm sorry if I seem uninterested
Or I'm not listenin', or, I'm indifferent
Truly I ain't got no business here
But since my friends are here, I just came to kick it
But really I would rather be at home all by myself
Not in this room
With people who don't even care about my well-being
I don't dance, don't ask, I don't need a boyfriend
So you can, go back, please enjoy your party
I'll be here
Somewhere in the corner
Under clouds of marijuana
With this boy who's hollering
I can hardly hear
Over this music I don't listen to
And I don't wanna get with you
So tell my friends that I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here

[Verse 2]
Excuse me if I seem a little unimpressed with this
An anti-social pessimist, but usually I don't mess with this
And I know you mean only the best
And your intentions aren't to bother me
But honestly I'd rather be
Somewhere with my people
We can kick it and just listen to
Some music with a message, like we usually do
And we'll discuss our big dreams
How we plan to take over the planet
So pardon my manners
I hope you'll understand that I'll be here
Not there in the kitchen
With the girl who's always gossiping about her friends
So tell them I'll be here
Right next to the boy who's throwin' up
Cause he can't take what's in his cup no more
Oh God why am I here?

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here

[Bridge]
Hours later congregatin' next to the refrigerator
Some girl talkin' 'bout her haters, she ain't got none
How did it ever come to this? I shoulda never come to this
So holla at me, I'll be in the car when you're done
I'm stand-offish, don't want what you're offerin'
And I'm done talkin', awfully sad it had to be that way
So tell my people when they're ready that I'm ready
And I'm standin' by the TV with my beanie low
Yo I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here"
On My MindEllie Goulding,"[Intro]
Oh, oh
Uh-oh-oh-oh
Eh

[Verse 1]
It's a little blurry how the whole thing started
I don't even really know what you intended
Thought that you were cute and you could make me jealous
Poured it down, so I poured it down
Next thing that I know I'm in a hotel with you
You were talking deep like it was mad love to you
You wanted my heart but I just liked your tattoos
Poured it down, so I poured it down

[Pre-Chorus 1]
And now I don't understand it
You don't mess with love, you mess with the truth
And I know I shouldn't say it
But my heart don't understand

[Chorus 1]
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind

[Verse 2]
I always hear, always hear them talking
Talking 'bout a girl, 'bout a girl with my name
Saying that I hurt you but I still don't get it
You didn't love me, no, not really
Wait
I could have really liked you
I'll bet, I'll bet that's why I keep on thinking 'bout you
It's a shame (shame), you said I was good
So I poured it down, so I poured it down

[Pre-Chorus 1]
And now I don't understand it
You don't mess with love, you mess with the truth
And I know I shouldn't say it
But my heart don't understand

[Chorus 2]
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mi-i-i-i-ind

[Bridge]
You got yourself in a dangerous zone
Cause we both have the fear, fear of being alone

[Pre-Chorus 2]
And I still don't understand it
You don't mess with love, you mess with the truth
And my heart don't understand it
Understand it, understand it

[Chorus 3]
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind

[Outro]
Uh, uh, uh, uh"
Like I'm Gonna Lose YouMeghan Trainor,"[Verse 1: Meghan Trainor]
I found myself dreaming in silver and gold
Like a scene from a movie that every broken heart knows
We were walking on moonlight, and you pulled me close
Split second and you disappeared and then I was all alone
I woke up in tears, with you by my side
A breath of relief, and I realized
No, we're not promised tomorrow

[Chorus: Meghan Trainor]
So I'm gonna love you, like I'm gonna lose you
I'm gonna hold you, like I'm saying goodbye
Wherever we're standing, I won't take you for granted
'Cause we'll never know when
When we'll run out of time
So I'm gonna love you, like I'm gonna lose you (Lose you)
I'm gonna love you, like I'm gonna lose you

[Verse 2: John Legend, (Meghan Trainor), Both]
In the blink of an eye, just a whisper of smoke
You could lose everything, the truth is you never know
So I'll kiss you longer, babe (Hey), any chance that I get
I'll make the most of the minutes and love with no regret
Let's take our time to say what we want (Say what we want)
Use what we got before it's all gone (Oh no)
'Cause no (No), we're not promised tomorrow

[Chorus: Meghan Trainor, John Legend, Both, (Meghan Trainor)]
So I'm gonna love you, like I'm gonna lose you (Lose you)
I'm gonna hold you (Hey), like I'm saying goodbye
Wherever we're standing (Yeah), I won't take you for granted
'Cause we'll never know when
When we'll run out of time
So I'm gonna love you (I'm gonna love you), like I'm gonna lose you (Like I'm gonna lose you)
I'm gonna love you (Love you), like I'm gonna lose you
Hey

[Bridge: Meghan Trainor, John Legend, Both]
I'm gonna love you (Oh)
Like I'm gonna lose you (Like I'm gonna lose you)
I'm gonna hold you, like I'm saying goodbye
Wherever we're standing, I won't take you for granted
'Cause we'll never know when
When we'll run out of time
So I'm gonna love you (I'm gonna love you, baby)
Like I'm gonna lose you (Like I'm gonna lose you)
I'm gonna love you (Oh), like I'm gonna lose you"
In The NightThe Weeknd,"[Verse 1]
All alone, she was livin'
In a world without an end or beginnin'
Baby girl was livin' life for the feelin'
But I don't mind, I don't mind, oh
And all the wrongs she committed
She was numb and she was so co-dependent
She was young and all she had was the city
But I don't mind, I don't mind

[Pre-Chorus]
And I know (Know)
That she's capable of anything, it's riveting
But when (When)
You wake up she's always gone, gone, gone, oh

[Chorus]
In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand

[Verse 2]
He sang a song when he did it
He was cold and he was so unforgiving
Now she dances to the song on the minute
Yeah, all the time (All the time), all the time (All the time), oh
It make her weak when she hear it
And it got her on her knees like religion
She was young and she was forced to be a woman
Yeah, all the time (All the time), all the time (All the time)

[Pre-Chorus]
And I know (Know)
That she's capable of anything, it's riveting
But when (When)
You wake up she's always gone, gone, gone, oh

[Chorus]
In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin' (Yeah)
Dollar bills and tears keep fallin' down her face (Fallin' down her face)
She'll never walk away
I don't think you understand

[Bridge]
Oh baby
I don't think you understand (Woo)
I don't think you understand (Ohh)
I don't think you understand
Oh no, no, no
I don't think you understand (Hey)

[Chorus]
In the night she hears him calling (Yeah)
In the night she's dancin' to relieve the pain (To relieve the pain)
She'll never walk away (No-no-no-no-no)
I don't think you understand
In the night when she comes crawlin' (Ouhhh)
Dollar bills and tears keep fallin' down her face (Fallin' down her face)
She'll never walk away
I don't think you understand"
StitchesShawn Mendes,"[Music Video]

[Verse 1]
I thought that I've been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life

[Pre-Chorus]
Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

[Chorus]
You watch me bleed until I can't breathe, shaking
Falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself, aching
Begging you to come help
And now that I'm without your kisses
I'll be needing stitches

[Verse 2]
Just like a moth drawn to a flame
Oh, you lured me in I couldn't sense the pain
Your bitter heart, cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own

[Pre-Chorus]
Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

[Chorus]
You watch me bleed until I can't breathe, shaking
Falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself, aching
Begging you to come help
And now that I'm without your kisses
I'll be needing stitches

[Bridge]
Needle and the thread, gotta get you out of my head
Needle and the thread, gonna wind up dead
Needle and the thread, gotta get you out of my head
Needle and the thread, gonna wind up dead
Needle and the thread, gotta get you out of my head
Needle and the thread, gonna wind up dead
Needle and the thread, gotta get you out of my head
Get you out of my head

[Chorus]
You watch me bleed until I can't breathe, shaking
Falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself, aching
Begging you to come help
And now that I'm without your kisses
I'll be needing stitches

[Outro]
Now that I'm without your kisses
I'll be needing stitches
Now that I'm without your kisses
I'll be needing stitches"
Hotline BlingDrake,"[Intro]
You used to call me on my
You used to, you used to
Yeah

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Verse 1]
Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl, you got me down, you got me stressed out
‘Cause ever since I left the city, you
Started wearing less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I've never seen before

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Verse 2]
Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Going places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Running out of pages in your passport
Hangin' with some girls I've never seen before

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Bridge]
These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rolling up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone?
Why you always touching road?
Used to always stay at home
Be a good girl, you was in the zone
Yeah, you should just be yourself
Right now, you're someone else

[Chorus]
You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

[Outro]
Ever since I left the city…

[Produced by Nineteen85]"
ConfidentDemi Lovato,"[Intro]
Are you ready?
Ha

[Verse 1]
It's time for me to take it
I'm the boss right now
Not gonna fake it
Not when you go down
'Cause this is my game, and you better come to play
I used to hold my freak back, now I'm letting go
I make my own choice
Bitch, I run this show
So leave the lights on
No, you can't make me behave

[Pre-Chorus]
(Oh-oh-oh)
So, you say I'm complicated
That I must be out my mind
But you've had me underrated-rated-rated

[Chorus]
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh)

[Verse 2]
It's time to get the chains out
Is your tongue tied up?
'Cause this is my ground and I'm dangerous
And you can get off
But it's all 'bout me tonight (tonight, ha)

[Pre-Chorus]
(Oh-oh-oh)
So, you say I'm complicated
That I must be out my mind
But you've had me underrated-rated-rated

[Chorus]
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh, yeah) What's wrong with being (yeah), what's wrong with being (yeah)
What's wrong with being confident?
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh)

[Interlude]
Uh-huh
Hey!
La la, yeah

[Breakdown]
So, you say I'm complicated
But you've had me underrated
Yeah yeah

[Chorus]
(Uh-huh) What's wrong with being, what's wrong with being (what's wrong with being)
What's wrong with being confident?
(Uh-huh, yeah) What's wrong with being (yeah), what's wrong with being (yeah)
What's wrong with being confident?
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh) What's wrong with being, what's wrong with being
What's wrong with being confident?
(Uh-huh)"
PerfectOne Direction,"[Verse 1: Louis]
I might never be your knight in shining armor
I might never be the one you take home to mother
And I might never be the one who brings you flowers
But I can be the one, be the one tonight

[Pre-Chorus: Liam]
When I first saw you from across the room
I could tell that you were curious, oh yeah
Girl, I hope you're sure what you're looking for
'Cause I'm not good at making promises

[Chorus: Harry + All]
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like going places we can't even pronounce
If you like to do whatever you've been dreaming about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now

[Verse 2: Niall]
I might never be the hands you put your heart in
Or the arms that hold you any time you want them
But that don't mean that we can't live here in the moment
'Cause I can be the one you love from time to time

[Pre-Chorus: Liam]
When I first saw you, from across the room
I could tell that you were curious, oh yeah
Girl, I hope you're sure what you're looking for
'Cause I'm not good at making promises

[Chorus: Harry + All]
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like going places we can't even pronounce
If you like to do whatever you've been dreaming about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now

[Bridge: Harry]
And if you like cameras flashing every time we go out, oh yeah
And if you're looking for someone
To write your breakup songs about
Baby, I'm perfect
Baby, we're perfect

[Chorus: Harry + All]
If you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like going places we can't even pronounce
If you like to do whatever you've been dreaming about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now"
Wildest DreamsTaylor Swift,"[Verse 1]
He said, ""Let's get out of this town
Drive out of this city, away from the crowds""
I thought, ""Heaven can't help me now""
Nothing lasts forever
But this is gonna take me down

[Pre-Chorus 1]
He's so tall and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins
My one condition is

[Chorus]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah-aah, haa
Wildest dreams, ah-aah, haa

[Verse 2]
I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothing lasts forever
But this is gettin' good now

[Pre-Chorus 2]
He's so tall and handsome as hell
He's so bad, but he does it so well
And when we've had our very last kiss
My last request, it is

[Chorus]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah-aah haa (ah-aah haa)
Wildest dreams, ah-aah haa

[Bridge]
You'll see me in hindsight, tangled up with you all night
Burnin' it down
Someday when you leave me, I'd bet these memories
Follow you around
You'll see me in hindsight, tangled up with you all night
Burning (burning) it (it) down (down)
Someday when you leave me, I'll bet these memories
Follow (follow) you (you) around (around)
(Follow you around)

[Breakdown]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend

[Chorus]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (pretend, just pretend)
Wildest dreams, ah-aah, ha (ah-aah-aah-aah-aah-ha)
In your wildest dreams, ah-aah, ha
Even if it's just in your
Wildest dreams, ah-aah, ha
In your wildest dreams, ah-aah, ha"
RosesThe Chainsmokers,"[Verse: ROZES]
Take it slow, but it's not typical
He already knows that my love is fire
His heart was a stone, but then his hands roam
I turned him to gold and took him higher

[Pre-Chorus: ROZES]
Well, I'll be your daydream, I'll be your favorite things
We could be beautiful
Get drunk on the good life, I'll take you to paradise
Say you'll never let me go

[Chorus: ROZES & Andrew Taggart]
Deep in my bones, I can feel you
Take me back to a time only we knew
Hideaway
We could waste the night with an old film
Smoke a little weed on my couch in the back room
Hideaway
Say you'll never let me go
Say you'll never let me go

[Post-Chorus: ROZES]
Ahh, ahh, ahh
Ahh, ahh, ahh
Ahh, ahh, ahh
Say you'll never let me go
Say you'll never let me go
Say you'll never let me go
Ahh
Ahh
Say you'll never let me go

[Chorus: ROZES & Andrew Taggart]
Deep in my bones, I can feel you
Take me back to a time only we knew
Hideaway
We could waste the night with an old film
Smoke a little weed on my couch in the back room
Hideaway
Say you'll never let me go
Say you'll never let me go

[Outro: ROZES]
Ahh, ahh, ahh
Ahh, ahh, ahh
Ahh, ahh, ahh
Say you'll never let me go
Ahh
Say you'll never let me go
Ahh"
Hide AwayDaya,"[Verse 1]
Boys seem to like the girls who laugh at anything
The ones who get undressed before the second date
Girls seem to like the boys who don't appreciate
All the money and the time that it takes

[Pre-Chorus 1]
To be fly as a mother
Got my both eyes out for Mr. Right
Guessing I just don't know where to find 'em
But I hope they all come out tonight

[Chorus]
Where do the good boys go to hide away, hide away?
I'm a good good girl who needs a little company
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?

[Verse 2]
Boys seem to like the girls who like to kiss and tell
Talking them up about the things they do so well
But I'd rather find a boy who is down for the chase
Putting in the time that it takes

[Pre-Chorus 2]
To be fly as a mother
To supply all of my heart's demands
Suit and tie, cause undercover
He's gonna save my life like Superman

[Chorus]
Where do the good boys go to hide away, hide away?
I'm a good good girl who needs a little company
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?

[Bridge]
Tell me where the good boys go
Tell me where the good boys go
Tell me where the good boys go
Won't somebody tell me, tell me?
Tell me where the good boys go
Tell me where the good boys go
Tell me where the good boys go
Tell me where the good boys go

[Chorus]
Where do the good boys go to hide away, hide away?
I'm a good good girl who needs a little company
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?

[Outro]
Hide away, hide away
Hide away, hide away
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?"
Ex's & Oh'sElle King,"[Verse 1]
Well, I had me a boy, turned him into a man
I showed him all the things that he didn't understand
Whoa, and then I let him go
Now, there's one in California who's been cursin' my name
'Cause I found me a better lover in the UK
Hey, hey, until I made my getaway

[Pre-Chorus 1]
One, two, three, they're gonna run back to me
Cause I'm the best baby that they never gotta keep
One, two, three, they're gonna run back to me
They always wanna come, but they never wanna leave

[Chorus 1]
Ex's and the oh, oh, oh's they haunt me
Like gho-o-osts they want me to make 'em oh, oh, oh
They won't let go
Ex's and oh's

[Verse 2]
I had a summer lover down in New Orleans
Kept him warm in the winter, left him frozen in the spring
My, my, how the seasons go by
I get high, and I love to get low
So the hearts keep breaking, and the heads just roll
You know that's how the story goes

[Pre-Chorus 1]
One, two, three, they're gonna run back to me
'Cause I'm the best baby that they never gotta keep
One, two, three, they're gonna run back to me
They always wanna come, but they never wanna leave

[Chorus 2]
Ex's and the oh, oh, oh's they haunt me
Like gho-o-osts they want me to make 'em oh, oh, oh
They won't let go
Ex's and the oh, oh, oh's they haunt me
Like gho-o-osts they want me to make 'em oh, oh, oh
They won't let go
Ex's and oh's

[Pre-Chorus 2]
One, two, three, they gonna run back to me
Climbing over mountains and a-sailing over seas
One, two, three, they gonna run back to me
They always wanna come, but they never wanna leave

[Chorus 2]
My ex’s and the oh, oh, oh’s they haunt me
Like gho-o-osts they want me to make ‘em oh, oh, oh
They won’t let go
Ex’s and the oh, oh, oh’s they haunt me
Like gho-o-osts they want me to make ‘em oh, oh, oh
They won’t let go
Ex’s and oh’s"
Stressed Outtwenty one pilots,"[Verse 1]
I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sang
I was told, when I get older, all my fears would shrink
But now I'm insecure, an' I care what people think

[Pre-Chorus]
My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

[Chorus]
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We're stressed out

[Verse 2]
Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's comin' from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, 'cause we have the same nose
Same clothes, homegrown, a stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and treehouse homes, we all would take the latter

[Pre-Chorus]
My-my-my name's Blurryface and I care what you think
My name's Blurryface and I care what you think

[Chorus]
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out

[Bridge]
We used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah
We used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah

[Chorus]
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out

[Outro]
We used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah"
What Do You Mean?Justin Bieber,"[Intro]

[Chorus]
What do you mean? Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? Hey ,yeah
When you don't want me to move, but you tell me to go
What do you mean?
Oh, what do you mean?
Said you're running outta time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?

[Verse 1]
You’re so indecisive, what I’m saying
Tryna catch the beat, make up your heart
Don't know if you're happy or complaining
Don't want for us to end, where do I start?

[Pre-Chorus]
First you wanna go to the left, then you wanna turn right
Wanna argue all day, make love all night
First you're up, then you’re down and then between
Oh, I really wanna know…

[Chorus]
What do you mean? Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? Hey yeah
When you don't want me to move, but you tell me to go
What do you mean?
Oh, what do you mean?
Said you're running outta time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?

[Verse 2]
You’re overprotective when I’m leaving
Tryna compromise but I can’t win
You wanna make a point, but you keep preaching
You had me from the start, won't let this end

[Pre-Chorus]
First you wanna go to the left, then you wanna turn right
Wanna argue all day, make love all night
First you're up, then you’re down and then between
Oh, I really wanna know…

[Chorus]
What do you mean? Oh, oh
When you nod your head yes, but you wanna say no
What do you mean? Hey yeah
When you don't want me to move, but you tell me to go
What do you mean? (I wanna know)
Oh, what do you mean? (Ooh)
Said you're running outta time, what do you mean? (Oh baby)
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?

[Outro]
Oh, oh (Don't be so selfish baby, yeah)
When you nod your head yes, but you wanna say no
What do you mean? Hey yeah (You're so confusing baby)
When you don't want me to move, but you tell me to go
What do you mean? (Be more straight forward)
Oh, what do you mean?
Said you're running outta time, what do you mean?
Oh, oh, oh, what do you mean?
Better make up your mind, what do you mean?"
