,Lyrics
Makeout - The Good Life - 12/12
Masta Killa - Loyalty Is Royalty - 10/16
Merky ACE - Personality Cult - 8/8
Michael Jackson - Scream - 13/13
Miley Cyrus - Younger Now - 11/11
Mordem - Fragments to Dominate the Silence
- 10/10
PARTYNEXTDOOR - 7 Days - 7/7
Primus - The Desaturating Seven - 7/7
Protomartyr - Relatives in Descent - 12/12
R I T U A L - No Escape Out of Time - 10/10
Racquet Club - Racquet Club - 10/10
RALEIGH - Powerhouse Bloom - 9/9
Rittz - Last Call - 22/22
Robin Schulz - Uncovered - 18/18
Sea In The Sky - Everything All at Once - 10/10
Shania Twain - Now - 16/16
SmokePurpp - Deadstar - 16/16
Tank - Savage - 11/11
Terror Jr - Bop 3: The Girl Who Cried Purple - 7/7
Tetrarch - Freak - 3/8
The Kindred - Burden EP - 6/6
Torii Wolf - Flow Riiot - 12/15
TORRES - Three Futures - 10/10
Vessels - The Great Distraction - 10/10
Wolf Alice - Visions of a Life - 12/12

9/30
Curren$y & Lex Luger - The Motivational Speech - 4/6
WVRM - Can You Hear The Wind Howl - 6/6
She's Only Sixteen - Whatever That Was - 11/11"
In The BloodJohn Mayer,"[Verse 1]
How much of my mother has my mother left in me?
How much of my love will be insane to some degree?
And what about this feeling that I'm never good enough?
Will it wash out in the water, or is it always in the blood?

[Verse 2]
How much of my father am I destined to become?
Will I dim the lights inside me just to satisfy someone?
Will I let this woman kill me, or do away with jealous love?
Will it wash out in the water, or is it always in the blood?

[Chorus]
I can feel the love I want
I can feel the love I need
But it's never gonna come the way I am
Could I change it if I wanted?
Can I rise above the flood?
Will it wash out in the water
Or is it always in the blood?

[Verse 3]
How much like my brothers do my brothers wanna be?
Does a broken home become another broken family?
Or will we be there for each other like nobody ever could?
Will it wash out in the water, or is it always in the blood?

[Chorus]
I can feel the love I want
I can feel the love I need
But it's never gonna come the way I am
Could I change it if I wanted?
Can I rise above the flood?
Will it wash out in the water
Or is it always in the blood?

[Chorus]
I can feel the love I want
I can feel the love I need
But it's never gonna come the way I am
Could I change it if I wanted?
Can I rise above the flood?
Will it wash out in the water
Or is it always in the blood?"
Good Goode',"[Verse 1]
Deep down in Louisiana close to New Orleans
Way back up in the woods among the evergreens
There stood a log cabin made of earth and wood
Where lived a country boy named Johnny B. Goode
Who never ever learned to read or write so well
But he could play a guitar just like a ringing a bell

[Chorus]
Go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Johnny B. Goode

[Verse 2]
He used to carry his guitar in a gunny sack
Go sit beneath the tree by the railroad track
Oh, the engineers would see him sitting in the shade
Strumming with the rhythm that the drivers made
People passing by they would stop and say
Oh my, but that little country boy could play

[Chorus]
Go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Go Johnny go, go
Johnny B. Goode

[Verse 3]
His mother told him ""Someday you will be a man
And you will be the leader of a big old band
Many people coming from miles around
To hear you play your music when the sun go down
Maybe someday your name will be in lights
Saying 'Johnny B. Goode Tonight'""

[Chorus]
Go, go
Go Johnny go
Go go go, Johnny go
Oh go go, Johnny go
Oh go go, Johnny go
Go, Johnny B. Goode"
Saturnz BarzGorillaz,"[Intro: Popcaan]
Haha, woii yoii
Done know how the ting go, a the Unruly boss
Don'?
Hahaha
Press the button to begin
Cho

[Chorus: Popcaan]
All my life, mi ever have mi gun so mi haffi move sharp like mi knife
All my life, mi pray say when mi get wealthy a ma a mi wife
All my life, the system force mi to be a killer just like Rodney Price
All my life, no, all my life

[Verse: Popcaan]
What happen to you, Cobe? Some boy don't know mi
To how me ruff dem can't believe a grandma grow mi
Know few Popcaan song so, and feel dem know mi
Four mile mi used to walk to school, them know man story? Ha!
Now mi gain Apollo's glory
The world is mine, the world a it mi taking slowly
Happy days mi call it now mi bun sad story
Anyway mi the inner the world mi dogs dem round mi, hahaha
Mi laugh and collect those trophy
Because mi deserve everything weh music gives mi, boy
Unruly nuh light like Frisbee
The dream, family live that with me
Oh (oh), oh (oh), oh (oh), oh (oh)
All my life
Mi dream fi own house, land, cars, and bikes

[Chorus: 2D & Popcaan]
All my life
I'm in the stakin' bar, I got debts, I'm a debaser
All my life
Saturn's about to make love and I'm just a heartbreaker
All my life
And I won't get a take in 'cause I'm out when I'm stakin'
And the rings I am breakin' are makin' you a personal debt

[Bridge: 2D & Popcaan]
With the holograms beside me, I'll dance alone tonight
In a mirrored world, are you beside me
All my life?
Distortion

[Chorus: 2D & Popcaan]
All my life
I'm in the stakin' bar, I got debts, I'm a debaser
All my life
Saturnz about to make love and I'm just a heartbreaker
All my life
And I won't get a take in 'cause I'm out when I'm stakin'
And the rings I am breakin' are makin' you a personal debt"
RosieJohn Mayer,"[Verse 1]
Rosie
Come down and get the door for me
I'm drunk again, remember when we used to be?
Rosie
I know you said no more for me
But that was all before this dream that just came to me

[Chorus]
Don't leave me here
Under the January rain
Come let me in
Take my heart by the hand
And lead me back to your room
And sing me your tune

[Verse 2]
Rosie
You don't have to hide his things
I'm fine with all the sorrow that tomorrow brings
Whoa-oh-oh, Rosie
Don't you know my love is true
'Perdon' and 'lo siento', see, I learned those words for you

[Chorus]
Don't leave me here
Under the January rain
Come let me in
Take my heart by the hand
And lead me back to your room
And sing me your tune

[Chorus]
Don't leave me here
Under the January rain
Come let me in
Take my heart by the hand
And lead me back to your room
And sing me your tune"
Still Feel Like Your ManJohn Mayer,"[Intro]
I still feel like your man
I still feel like your man
I still feel
I still feel
I still feel like your man

[Verse 1]
The prettiest girl in the room she wants me
I know because she told me so
She says come over
I'd like to get to know you
But I just don't think I can

[Chorus]
'Cause I still feel like your man
Still feel like your man
I still feel like your man
Still feel like your man
I still feel like your man

[Verse 2]
I still keep your shampoo in my shower
In case you wanna wash your hair
And I know that you probably found yourself some more somewhere
But I do not really care
'Cause as long as it is there

[Chorus]
I still feel like your man
Still feel like your man
Still feel like your man, oh mama
Still feel like your man
I still feel like your man, your man

[Bridge]
(Ever since the day we met, ever since the day we met)
Still like the letters in your name and how they feel, babe
Still think I'm never gonna find another you
Still like to leave the party early and go home, babe
And don't you know, babe
I'd rather sit here on my own and be alone, be—

[Chorus]
'Cause I still feel like your man
Still feel like your man
(I still feel like) Still feel like your man (oh honey)
Still feel like your man

I still feel like your man
Still feel like your man
Still feel like your man (And I don't know why)
Still feel like your man

[Outro]
I still feel like
I still feel like
I still feel like
I still, I still"
Never On The Day You LeaveJohn Mayer,"[Chorus]
No it's never on the day you leave
That you wonder what you still believe in
And you can't remember why you said goodbye
You'll hear an old familiar sound and hope it's her when you turn around
But never, never on the day you leave

[Verse 1]
Love grows in the time it's been
Since you last heard her sing
She'll cut her hair and move somewhere
She don't owe you anything

[Chorus]
No it's never on the day you leave
You can tell how it's gonna be
To watch a girl become a ghost before your eyes
You wish you'd given her one more kiss
To put away for a night like this
But never, never on the day you leave

[Verse 2]
Love grows in the time it's been
Since you last held her hand
She'll fight for you like hell
Then force herself to like some other man

[Chorus]
No it's never on the day you leave
That you remember Christmas Eve
And all the things you miss about her crazy family
You'll know how lonely it is to see a little drug store Christmas tree
But never, never on the day you leave
No never, never on the day you leave

[Bridge]
So maybe it'd be better off to write her
And leave a little note right there beside her
That says maybe we're not perfect
But I'll be damned if I ever leave
Damned if I ever leave
Damned if I ever leave"
AndromedaGorillaz,"[Verse 1: 2-D]
When the pulsing looks to die for
Take it in your heart now, lover
When the case is out
And tired and sodden
Take it in your heart
Take it in your heart

[Pre-Chorus: D.R.A.M.]
Back to when it was cool
'Cause there's no substitute
Who even knows the truth?
The truth, the truth

[Chorus: 2-D]
Take it in your heart now, lover
Take it in your heart, heart, heart, heart
Take it in your heart
Take it in your heart, heart, heart, heart
Where it all goes down

[Verse 2: 2-D]
Outside, cold and ghosting out with jet lag
I took it to the right man
Took it all back
When the courts were closing
It was Bobby gracing
I know that
I put it to the right man
He put it back

[Bridge: 2-D]
Caught in your eyes
Stacks of lights
Come streaming back
Make it for the best times
Growing pains, good times
Good times, good times
Good times, good times
Good times, good times

[Chorus: 2-D]
Take it in your heart now, lover
Take it in your heart, heart, heart, heart
Take it in your heart
Take it in your heart
Where it all goes down

[Outro: 2-D]
Andromeda
Andromeda, Andromeda
Take it in your heart now, lover
Andromeda, Andromeda
Andromeda, Andromeda
Take it in your heart
Take it in your heart
Where it all goes down"
Let Me OutGorillaz,"[Verse 1: Pusha T]
Mama Mavis, oh, Mama, they tried my patience
{Obama} is gone, who is left to save us?
{Orlando,} we mourn, I'm praying for my neighbors
They say the devil's at work and {Trump} is calling favors
You say I'm dangerous, I speak for the nameless
I fly with the vultures, I be with them bangers
If change don't come, then the change won't come
If the bands make 'em dance, then the rain gon' come
(Woo!)

[Pre-Chorus: Mavis Staples]
Am I passin' into the light?
(Am I looking into mercy's eyes?)
Look into your eyes
All the world is out of your hands
(Then ascending into the dark, let me out)
You got to die a little if you wanna live
Change come to pass
Change come to pass
You'd best be ready for it

[Chorus: 2-D]
Something I've begun to fear is about to change its form
Yeah, yeah, yeah, it's a shift in times
But I won't get tired at all

[Refrain: 2-D]
Let me out
Let me out
Let me out
Let me out

[Verse 2: Pusha T]
Look into my eyes, mama, tell me what you see
Tell me there's a chance for me to make it off the streets
Tell me that I won't die at the hands of the police
Promise me I won't outlive my nephew and my niece
Promise me my pastor isn't lyin' as he preach
Tell me that they'll listen if it's lessons that I teach
Tell me there's a heaven in the sky where there is peace
But until then, I keep my piece in arm's reach

[Pre-Chorus: Mavis Staples]
Am I passin' into the light?
(Am I looking into mercy's eyes?)
All the world is out of your hands
(Then ascending into the dark) Another night
You got to die a little if you wanna live
Change coming
You'd best be ready for it

[Chorus: 2-D]
Something I've begun to fear is about to change its form
Yeah, yeah, yeah, it's a shift in times
But I won't get tired at all

[Pre-Chorus: Mavis Staples]
Am I passin' into the light?
(Am I looking into mercy's eyes?)
All the world is out of your hands
(Then ascending into the dark) Another night
You got to die a little if you wanna live
Change, oh, change is coming
You'd best be ready

[Outro: Mavis Staples]
Be ready, ready for it
Be ready, be ready
(Let me out)"
Don't Take The MoneyBleachers,"[Verse 1: Jack Antonoff]
Somebody broke me once
Love was a currency
A shimmering balance act
I think that I laughed at that
And I saw your face and hands
Coloured in sun and then
I think I understand
Will I understand?

[Pre-Chorus: Jack Antonoff]
Will we fight, stay up late?
In my dreams, I'm to blame
Different sides of the bed
Roll your eyes, shave my head
Now we're stuck in the storm
We were born to ignore
And all I got is a chance to just say
(Baby love me you've got me, runaway)

[Chorus: Jack Antonoff]
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money

[Verse 2: Jack Antonoff]
I slept on my own those nights
Was still in my parents' house
And I cut off my t-shirt sleeves
And claim a new continent
'Til I saw your face and hands
Covered in sun and then
I think I understand
Will I understand?

[Pre-Chorus: Jack Antonoff]
Will we fight, stay up late?
In my dreams, I'm to blame
Different sides of the bed
Roll your eyes, shake my head
Now we're stuck in the storm
We were born to ignore
And all I got is a chance to just say
(Baby love me you've got me, runaway)

[Chorus: Jack Antonoff]
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money
(I'm in love and you've got me, runaway)
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money
(Baby love me you've got me, runaway)

[Bridge: Jack Antonoff]
When you're looking at your shadow
Standing on the edge of yourself
Praying on the darkness
Just don't take the money
Dreaming of an easy
Waking up without weight now
And you're looking at the heartless
Just don't take the money

[Chorus: Jack Antonoff & Lorde]
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Well, don't take the money
(Baby love me you've got me, runaway)
You steal the air out of my lungs, you make me feel it
I pray for everything we lost, buy back the secrets
Your hand forever's all I want
Don't take the money
Don't take the money

[Outro: Jack Antonoff]
Just don't take the money
Just don't take the money
Just don't take the money
Just don't take the money"
In Cold Bloodalt-J,"[Verse 1]
Zero one one one zero zero one one
Crying zeros and I'm hearing one one ones
Cut my somersault, sign my backflip
Pool, summer, summer, pool, pool summer

Kiss me

[Verse 2]
Hair the way the sun really wants it to be
Whiskey soda please, your G&T is empty
Jeff's inflatables have sunk to the bottom
Pool, summer, summer, pool, pool summer

Kiss me

[Bridge]
Cali let's dive, dive down
To the pool's bottom where we belong
Cali you're sinking like a bleeding stone
All above crowd around, so fucking loud

[Chorus]
Mr. Caspian's killer told me so (La-la la-la la la)
Heard it down on the radio (La-la la-la la-la la)
My pool, summer, summer, pool, summer vibes killed
In cold blood

[Verse 3]
Zero one one one zero zero one one
Crying zeros and I'm hearing one one ones
Lifeless back slaps the surface of the pool
Pool killer, killer pool, pool killer

Kiss me

[Chorus]
Mr. Caspian's killer told me so (La-la la-la la la)
Heard it down on the radio (La-la la-la la-la la)
Pool, summer, summer, pool, pool, summer vibes killed
In cold blood

[Outro]
La-la la-la la la (In cold blood, in cold blood)
La-la la-la la la
La-la la-la la la (In cold blood)
La-la la-la la la

(Caspian's killer told me so)
La-la la-la la la
La-la la-la la la

(Caspian's killer told me so)
La-la la-la la la
La-la la-la la la

La-la la-la la-la la
In cold blood"
You're Gonna Live Forever In MeJohn Mayer,"[Intro: Whistling]

[Verse 1]
A great big bang and dinosaurs
Fiery raining meteors
It all ends unfortunately

[Chorus 1]
But you're gonna live forever in me
I guarantee, just wait and see

[Verse 2]
Parts of me were made by you
And planets keep their distance too
The moon's got a grip on the sea

[Chorus 2]
And you're gonna live forever in me
I guarantee, it's your destiny

[Verse 3]
Life is full of sweet mistakes
And love's an honest one to make
Time leaves no fruit on the tree

[Chorus 3]
But you're gonna live forever in me
I guarantee, it's just meant to be

[Interlude: Whistling]

[Verse 4]
And when the pastor asks the pews
For reasons he can't marry you
I'll keep my word and my seat

[Chorus 1]
But you're gonna live forever in me
I guarantee, just wait and see

[Outro: Whistling]"
HighSir Sly,"[Verse 1]
I’ve been smoking on the peace pipe
I’ve been wondering just what would peace be like
I’ve been staring into headlights
Swallow me whole, finding my peace of mind
I’m just trying to seize the moment
Trying to love the little things, even if they’re hard to love
A monument to love unspoken
Carved into stone, “Unwilling to come undone”

[Chorus 1]
It feels good to be running from the devil
Another breath and I’m up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now

[Verse 2]
I remember back in Oakland
I was lying there in rapture on the bathroom floor
Moving hotel to hotel
Out on the road, no idea really what’s in store
Light it up just like a flashlight
Let it shine, let it rise just like a foreign sun
Turn it over and it’s capsized
It’s finally done, the battle's lost, yet I feel I’ve won

[Chorus 1]
It feels good to be running from the devil
Another breath and I’m up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now

[Post-Chorus]
It feels good for the first time in a long time now
It feels good to be me

[Chorus 2]
I’m high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I’m along for the ride as I’m taking flight

[Chorus 2]
I’m high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I’m along for the ride as I’m taking flight

[Chorus 1]
It feels good to be running from the devil
Another breath and I’m up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now

[Post-Chorus]
It feels good for the first time in a long time to be me
It feels good for the first time in a while I’m free

[Chorus 2]
I’m high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I’m along for the ride as I’m taking flight"
"Theme From ""The Search For Everything""John Mayer",[Instrumental]
AscensionGorillaz,"[Intro: Vince Staples]
You are now tuned into the tomb of Jehova
Play my tunes loud enough to shake the room, what's the hold up?
Heard the world is ending soon I assumed that they told ya 
They tryna dinosaur us so now it's time to go up

[Refrain: Vince Staples & The Humanz Choir]
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)

[Verse 1: Vince Staples]
The roof is on fire, she wet like Barbra Streisand
Police everywhere, it's like a nigga killed a white man
I just wanna find a baby mama 'fore the night end
So don't be coming 'round Vince on that batter ram shit
On that 911 shit, need a misses brown as Missy
I can have some fun with, them slave bones make Grace Jones
Don't stop, bitch, stay focused, they hated on us since days of Moses
Let my people go crazy, them stars falling, don't chase 'em

[Refrain: Vince Staples & The Humanz]
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)

[Bridge: 2D]
Attack on Iraq, it's on a line
Typing it fast, then it's slipping my mind
Oh, when I'm drunk, I'm spirited back
I fall in a fire then I save myself
Then I get advantage 'cause the feeling's so raw
In these times of sedition, well, nothing is dull
And I'm moving into stillness and recalling it all
And I’m a lover, just a lover, just a lover, just a lover, just a-

[Refrain: Vince Staples & The Humanz]
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)

[Verse 2: Vince Staples]
All these liberated women sitting in my lap
I'm finna catch a body like I got a gun and badge
I'm finna turn {Obama} to my partner 'fore he dash
Pull up to the pad, wipe my ass with the flag
I'm just playing, baby, this the land of the free
Where you can get a Glock and a gram for the cheap
Where you can live your dreams long as you don't look like me
Be a puppet on a string, hanging from a fucking tree
(Aghh!)

[Refrain: Vince Staples & The Humanz]
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Drop that ass 'fore it crash (higher)
The sky's falling, baby
Falling, baby, falling (higher)"
Emoji Of A WaveJohn Mayer,"[Verse 1]
Oh honey
You don't have to try so hard
To hurt me
Don't worry
I been thinking bout you too
What do we do

[Pre-Chorus]
Your heart is where my head should be
The dissonance is killing me
It breaks my heart
It breaks my heart

[Chorus]
Oh honey
Oh honey
It's just a wave
It's just a wave
And I know
That when it comes
I just hold on
I just hold on

[Verse 2]
Oh honey
I been talking to myself
Just to hear you
And you're saying
Everything I wish you would
And it's so good

[Pre-Chorus]
It's raining on the mission bell
They're draining out the wishing well
It breaks my heart
It breaks my heart

[Chorus]
Oh honey
Oh honey
It's just a wave
It's just a wave
And I know
That when it comes
I just hold on
I just hold on

[Bridge]
I rose in you like morning light
And sheltered you asleep at night
It breaks my heart
It takes all the love I have to say
I know we're gonna be ok
It breaks my heart
It breaks my heart

[Chorus]
Oh honey
Oh honey
It's just a wave
It's just a wave
And I know
That when it comes
I just hold on
Until it's gone"
HelplessJohn Mayer,"[Verse 1]
The same drink that gets me out the door
Is the same drink that puts me on the floor
And the new thing I wanna try some more
Is the same mistake I used to make before

[Chorus]
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
And I'll stop trying to figure it out

[Verse 2]
The same brain that brings me ecstacy
Is the same pain that gets the best of me
And the one I love the most just said to me
A broken heart is all I'll ever be

[Chorus]
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
And I'll stop trying to figure it out

[Bridge]
Help me
Help me
Help me

[Chorus]
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
If I'm helpless tell me now
Tell me now
And I'll stop trying to figure it out

If I'm helpless
If I'm helpless
If I'm helpless
Then I'll stop trying to figure it out"
Lights OutRoyal Blood,"[Verse 1]
Every time I'm with it alone
It picks me up
You just send me down
I can feel it rushing under my skin
You're a cage won't you let me in?
On my toes
Lock the door
Pretty face
Through the walls
Don't know if I'd be so sure again

[Chorus]
My eyes are still burning red
So turn the lights out
You're not so hard to forget
With all the lights out

[Verse 2]
Every time I'm stuck in the ground
Spin me round, won't you spin me round
You're a void, a crack in the mirror
See me now, if you could see me now
You slipped through
The night
Then walked out
Skin tight
But you don't matter that much to me
No you don't matter that much to me

[Chorus]
My eyes are still burning red
So turn the lights out
You're not so hard to forget
With all the lights out
So turn the lights out
Just turn the lights out

My eyes are still burning red
So turn the lights out
You're not so hard to forget
With all the lights out"
ReverendKings Of Leon,"[Verse 1]
On the lam cut down in the middle of the night caught in a trap
Crushed by the crown of the wandering man who was never coming back
Stuck on the line spending all of his time with his back to the throne
With the flash of the round everybody in town said ""Leave it alone""

[Chorus]
Just like the reverend, like the reverend on the radio
Your heart will never say so
Your heart will never let it go
Just like the reverend, like the reverend on the radio
My heart will never say so
My heart will never let it go

[Verse 2]
I got caught in the middle of a hurricane fight facing the ground
Beast of the wild with a porcelain smile as it passes around
The truth in disguise from the billowing eyes isn't working on me
Don't you think you gotta give
Give me something I want
Give me something I need

[Chorus]
Just like the reverend, like the reverend on the radio
Your heart will never say so
Your heart will never let it go
Just like the reverend, like the reverend on the radio
My heart will never say so
My heart will never let you go

[Chorus]
Just like the reverend, like the reverend on the radio
Your heart will never say so
Your heart will never let it go
Just like the reverend, like the reverend on the radio
My heart will never say so
My heart will never let you go

[Outro]
Just like the reverend, like the reverend on the radio
So my heart will never say so
And my heart will never let you go"
Roll It On HomeJohn Mayer,"[Verse 1]
One last drink to drink wishful thinkin'
And then another again
The bar is getting brighter
And the walls are closin' in

Journey on the jukebox singin'
Don't let the believin' end
The one that you had eyes for
Had their eyes for your best friend

[Pre-Chorus]
Nobody's gonna love you right
Nobody's gonna take you in tonight
Finish out the bottle or step into the light
And roll it on home

[Chorus]
Roll it on home
Roll it on home
Tomorrow's another chance you won't go it alone
If you roll it on home

[Verse 2]
The last ten texts were with your ex
And all of 'em were sent by you
But you keep starin' at your phone like something's comin' through
Come to grips and take your chips when the cards aren't goin' your way
You've been here so long tonight's already yesterday

[Pre-Chorus]
Nobody's gonna love you right
Nobody's gonna take you in tonight
Finish out the bottle or step into the light
And roll it on home

[Chorus]
Roll it on home
Roll it on home
Tomorrow's another chance you won't go it alone
If you roll it on home

[Pre-Chorus]
Nobody's gonna love you right
Nobody's gonna take you in tonight
Drop a couple dollars, bum yourself a light
And roll it on home

[Chorus]
Roll it on home
Roll it on home
Tomorrow's another chance you won't go it alone
If you roll it on home

Roll it on home
Roll it on home
Roll it on home"
We Got The PowerGorillaz,"[Chorus]
We got the power to be loving each other
No matter what happens
We've got the power to do that
On a le pouvoir de s'aimer, okay?
We got the power to be
Ringing the great bell out there above us
We got the power for that
We got the power to do that

[Verse 1: Jehnny Beth & 2D]
And, we dream of home
I dream of life out of here
Their dreams are small
My dreams don't know fear
(I got all you)
I got my heart full of hope
I will change everything
No matter what I'm told
How impossible it seems
(We got the power)
We did it before
And we'll do it again
We're indestructible
Even when we're tired
And we've been here before
Just you and I
Don't try to rescue me
I don't need to be rescued

[Chorus: 2D & Jehnny Beth]
We got the power to be loving each other
No matter what happens
We've got the power to do that
On a le pouvoir de s'aimer, okay?
We got the power to be
Ringing the great bell out there above us
We got the power for that
We got the power to do that

[Verse 2: 2D]
Get yourself up to the silent altar and call me
But don't forget the machines
'Cause if your choice is chipping it down on the M1
Then you'll wake up in the morning
You'll be storming, oh, oh, oh

[Chorus]
We got the power to be loving each other
No matter what happens
We've got the power to do that
On a le pouvoir de s'aimer, okay?
We got the power to be
Ringing the great bell out there above us
We got the power for that
We got the power to do that

[Outro: 2D]
We got the power"
ChangingJohn Mayer,"[Chorus]
I am not done changing
Out on the run, changing
I may be old and I may be young
But I am not done changing

[Verse]
I met me someone changing
We had some fun changing
Sometimes I wonder if she'll be the one
When I am done changing

Some of us stopped running
Some of us went home
Some of us don’t got one
So we'll build one of our own

Friends behind their fences
Looking at me strange
Wondering when I’m gonna come to my senses
But I'm still changing
And I can’t change my ways

I see the sky changing
Reminds me of my changing
Wish I could tie me a rope 'round the sun
'Cause I am not done changing

[Bridge]
Time's been talking to me
Whispering in my ear
Saying “Follow your heart
'Til it tears you apart”
But hearts keep changing
Hearts keep changing
Hearts keep changing
Hearts keep changing

[Instrumental Solo]

[Chorus]
I am not done changing
Out on the run, changing
I may be old and I may be young
But I am not done changing
Changing
Changing"
Black Hole SunSoundgarden,"[Verse 1]
In my eyes, indisposed
In disguises no one knows
Hides the face, lies the snake
The sun in my disgrace
Boiling heat, summer stench
'Neath the black the sky looks dead
Call my name through the cream
And I'll hear you scream again

[Chorus]
Black hole sun, won't you come
And wash away the rain?
Black hole sun, won't you come?
Won't you come? Won't you come?

[Verse 2]
Stuttering, cold and damp
Steal the warm wind, tired friend
Times are gone for honest men
And sometimes far too long for snakes
In my shoes, a walking sleep
And my youth I pray to keep
Heaven send Hell away
No one sings like you anymore

[Chorus]
Black hole sun,  won't you come
And wash away the rain?
Black hole sun, won't you come?
Won't you come?
Black hole sun,  won't you come
And wash away the rain?
Black hole sun, won't you come?
Won't you come?

[Post-Chorus]
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun

[Guitar Solo]

[Verse 3]
Hang my head, drown my fear
Till you all just disappear

[Chorus]
Black hole sun,  won't you come
And wash away the rain?
Black hole sun, won't you come?
Won't you come?
Black hole sun,  won't you come
And wash away the rain?
Black hole sun, won't you come?
Won't you come?

[Post-Chorus]
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Black hole sun, black hole sun
Won't you come?
Won't you come?"
Like A StoneAudioslave,"[Verse 1]
On a cobweb afternoon in a room full of emptiness
By a freeway, I confess I was lost in the pages
Of a book full of death, reading how we'll die alone
And if we're good, we'll lay to rest anywhere we want to go

[Chorus]
In your house, I long to be
Room by room, patiently
I'll wait for you there, like a stone
I'll wait for you there, alone

[Verse 2]
And on my deathbed, I will pray to the gods and the angels
Like a pagan to anyone who will take me to heaven
To a place I recall, I was there so long ago
The sky was bruised, the wine was bled, and there you led me on

[Chorus]
In your house, I long to be
Room by room, patiently
I'll wait for you there, like a stone
I'll wait for you there, alone, alone

[Bridge]
And on I read, until the day was gone
And I sat in regret of all the things I've done
For all that I've blessed, and all that I've wronged
In dreams until my death, I will wander on

[Chorus]
In your house, I long to be
Room by room, patiently
I'll wait for you there, like a stone
I'll wait for you there, alone, alone"
The ChainFleetwood Mac,"[Verse 1]
Listen to the wind blow
Watch the sun rise
Run in the shadows
Damn your love, damn your lies

[Chorus]
And if you don't love me now
You will never love me again
I can still hear you saying
You would never break the chain (Never break the chain)
And if you don't love me now (You don't love me now)
You will never love me again
I can still hear you saying (Still hear you saying)
You would never break the chain (Never break the chain)

[Verse 2]
Listen to the wind blow
Down comes the night
Run in the shadows
Damn your love, damn your lies
Break the silence
Damn the dark, damn the light

[Chorus]
And if you don't love me now
You will never love me again
I can still hear you saying
You would never break the chain (Never break the chain)
And if you don't love me now (You don't love me now)
You will never love me again
I can still hear you saying (Still hear you saying)
You would never break the chain (Never break the chain)
And if you don't love me now (You don't love me now)
You will never love me again
I can still hear you saying (Still hear you saying)
You would never break the chain (Never break the chain)

[Guitar & Bass Solo]

[Outro]
(Chain, keep us together) Run in the shadow
(Chain, keep us together) Runnin' in the shadow
(Chain, keep us together) Runnin' in the shadow
(Chain, keep us together) Run in the shadow
(Chain, keep us together) Run in the shadow"
